Tên,Link
"Đăng ký kiểm dịch động vật, sản phẩm động vật trên cạn tạm nhập tái xuất, tạm xuất tái nhập, chuyển cửa khẩu, quá cảnh lãnh thổ Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001055
"Cấp Giấy chứng nhận, tem kiểm định chất lượng, an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông đường sắt",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004990
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật cho thiết bị xếp dỡ, nồi hơi và thiết bị áp lực nhập khẩu sử dụng trong giao thông vận tải",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004976
"Mở cảng hàng không, sân bay",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001369
Đăng ký niêm yết tại Sở Giao dịch chứng khoán,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002111
"Đăng ký thay đổi nội dung biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất đã đăng ký",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003625
Đăng ký thế chấp tàu biển,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003752
"Phân bổ, cấp địa chỉ Internet, số hiệu mạng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004586
"Thủ tục thay đổi giấy phép thành lập và công nhận điều lệ (sửa đổi, bổ sung) quỹ.",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003543
"Thủ tục thay đổi giấy phép thành lập và công nhận điều lệ (sửa đổi, bổ sung) quỹ (Cấp tỉnh)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003621
"Thủ tục thay đổi giấy phép thành lập và công nhận điều lệ (sửa đổi, bổ sung) quỹ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003889
Thủ tục công nhận quỹ đủ điều kiện hoạt động và công nhận thành viên hội đồng quản lý quỹ.,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001503
Thủ tục công nhận quỹ đủ điều kiện hoạt động và công nhận thành viên hội đồng quản lý quỹ (Cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001590
"Thủ tục công nhận thay đổi, bổ sung thành viên hội đồng quản lý quỹ.",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001499
"Thủ tục công nhận thay đổi, bổ sung thành viên hội đồng quản lý quỹ (Cấp tỉnh)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001567
Thủ tục thành lập hội (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001481
Thủ tục thành lập hội cấp huyện,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003827
Thủ tục thành lập hội.,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003942
Thủ tục đổi tên quỹ,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001421
"Chấp thuận phương án đảm bảo an ninh, an toàn và vệ sinh môi trường đối với hoạt động xây dựng, cải tạo, nâng cấp, bảo trì, sửa chữa công trình, lắp đặt, bảo dưỡng, sửa chữa thiết bị trong khu vực cảng hàng không, sân bay",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004711
Cấp lại Giấy chứng nhận đăng ký hoạt động hàng không chung không vì mục đích thương mại,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002899
Phê duyệt Bản công bố phù hợp Lao động hàng hải phần II và cấp Giấy chứng nhận Lao động hàng hải,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000256
Bổ nhiệm giám định viên pháp y và pháp y tâm thần thuộc thẩm quyền của Ủy ban nhân dân tỉnh/ thành phố trực thuộc Trung ương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001523
Bổ nhiệm giám định viên pháp y và pháp y tâm thần thuộc thẩm quyền của Bộ Y tế,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000704
"Cho phép Đoàn khám bệnh, chữa bệnh nước ngoài tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001129
"Cho phép Đoàn khám bệnh, chữa bệnh trong nước tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001144
"Cho phép Đoàn khám bệnh, chữa bệnh trong nước tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001846
"Chấp thuận phương án bảo đảm an toàn giao thông đối với các công trình thi công liên quan đến đường thủy nội địa quốc gia; đường thuỷ nội địa chuyên dùng nối với đường thuỷ nội địa quốc gia; đường thuỷ nội địa chuyên dùng nằm trên địa gới hai tỉnh, thành phố trực thuộc Trung ương trở lên; đường thuỷ nội địa chuyên dùng nối đường thuỷ nội địa quốc gia với đường thuỷ nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001596
"Công bố hạn chế giao thông đường thủy nội địa trong trường hợp thi công công trình trên đường thủy nội địa quốc gia; đường thủy nội địa chuyên dùng nối với đường thủy nội địa quốc gia; đường thuỷ nội địa chuyên dùng nằm trên địa giới hai tỉnh, thành phố trực thuộc trung ương trở lên; đường thuỷ nội địa chuyên dùng nối đường thuỷ nội địa quốc gia với đường thuỷ nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002900
"Đưa công trình, một phần công trình thuộc kết cấu hạ tầng cảng hàng không, sân bay vào khai thác",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004709
Công bố hạn chế giao thông đường thủy nội địa trong trường hợp bảo đảm an ninh quốc phòng trên đường thủy nội địa quốc gia,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001404
Công bố hạn chế giao thông đường thủy nội địa trong trường hợp bảo đảm an ninh quốc phòng trên đường thủy nội địa địa phương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001406
"Công bố mở luồng, tuyến đường thuỷ nội địa chuyên dùng nối với đường thuỷ nội địa quốc gia, đường thuỷ nội địa chuyên dùng nằm trên địa giới hai tỉnh, thành phố trực thuộc Trung ương trở lên hoặc đường thuỷ nội địa chuyên dùng nối đường thuỷ nội địa quốc gia với đường thuỷ nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001436
"Thông báo lần đầu, định kỳ luồng đường thủy nội địa chuyên dùng nối với đường thủy nội địa quốc gia",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001415
"Thông báo thường xuyên, đột xuất luồng đường thủy nội địa chuyên dùng nối với đường thủy nội địa quốc gia",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001421
"Thông báo lần đầu, định kỳ luồng đường thủy nội địa chuyên dùng nối với đường thủy nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001426
"Thông báo thường xuyên, đột xuất luồng đường thủy nội địa chuyên dùng nối với đường thủy nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001429
Công nhận đăng kiểm viên (lần đầu) phương tiện thủy nội địa,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004424
Cấp Giấy phép hoạt động báo điện tử,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004778
Thay đổi nội dung ghi trong giấy phép xuất bản phụ trương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004766
"Cấp giấy phép sửa đổi, bổ sung những nội dung ghi trong giấy phép xuất bản phụ trương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004771
"Cấp, cấp lại Giấy phép vận tải đường bộ quốc tế giữa Việt Nam và Campuchia",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000302
Cấp giấy phép xuất bản phụ trương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005094
Cấp bổ sung phạm vi hoạt động chuyên môn trong chứng chỉ hành nghề thuộc thẩm quyền của Bộ Y tế,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003349
Cấp bổ sung phạm vi hoạt động chuyên môn trong chứng chỉ hành nghề thuộc thẩm quyền của Sở Y tế,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003748
"Cấp lại chứng chỉ hành nghề bác sỹ gia đình đối với người nước ngoài, người Việt Nam định cư ở nước ngoài bị mất hoặc hư hỏng chứng chỉ hành nghề hoặc bị thu hồi chứng chỉ hành nghề theo quy định tại các Điểm c, d, đ, e và g tại Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001930
"Cấp lại chứng chỉ hành nghề bác sỹ gia đình đối với người nước ngoài, người Việt Nam định cư ở nước ngoài bị mất hoặc hư hỏng chứng chỉ hành nghề hoặc bị thu hồi chứng chỉ hành nghề theo quy định tại Điểm a, Điểm b, Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001932
"Cấp lại chứng chỉ hành nghề khám bệnh, chữa bệnh đối với người nước ngoài bị thu hồi chứng chỉ hành nghề theo quy định tại điểm c, d, đ, e và g Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003282
Cấp Giấy chứng nhận đăng ký hoạt động hàng không chung không vì mục đích thương mại,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002903
"Cấp giấy phép hoạt động khám, chữa bệnh nhân đạo đối với bệnh viện trên địa bàn quản lý của Sở Y tế (trừ các bệnh viện thuộc thẩm quyền của Bộ Y tế và Bộ Quốc phòng) và áp dụng đối với trường hợp khi thay đổi hình thức tổ chức, chia tách, hợp nhất, sáp nhập",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001907
"Cấp giấy phép hoạt động khám bệnh, chữa bệnh nhân đạo đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế khi thay đổi tên cơ sở khám bệnh, chữa bệnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001780
"Cấp giấy phép hoạt động khám bệnh, chữa bệnh nhân đạo đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế khi thay đổi tên cơ sở khám chữa bệnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002015
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi tên cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003628
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi tên cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003642
"Cấp lại Giấy phép hoạt động đối với trạm, điểm sơ cấp cứu chữ thập đỏ khi thay đổi địa điểm",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000552
Cấp lại giấy phép hoạt động đối với phòng khám bác sỹ gia đình thuộc thẩm quyền của Sở Y tế khi thay đổi địa điểm,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001663
"Cấp giấy phép hoạt động khám bệnh, chữa bệnh nhân đạo đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế khi thay đổi địa điểm",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002037
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi địa điểm thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003627
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi địa điểm thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003644
"Cấp lại giấy phép khai thác thiết bị thuộc lĩnh vực bảo đảm hoạt động bay; thiết bị lắp đặt, hoạt động tại khu bay",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002849
"Thủ tục biên phòng theo cách thức thủ công đối với tàu cá Việt Nam, thuyền viên, hành khách đi trên tàu cá Việt Nam nhập cảnh sau khi đi khai thác thủy sản ở vùng biển ngoài vùng biển Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001539
"Thủ tục biên phòng theo cách thức thủ công đối với tàu cá Việt Nam, thuyền viên, hành khách đi trên tàu cá Việt Nam xuất cảnh đi khai thác thủy sản ở vùng biển ngoài vùng biển Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001556
"Cấp giấy phép vận chuyển chất, hàng nguy hiểm về cháy, nổ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001458
"Cấp Giấy phép vận chuyển vũ khí quân dụng, vũ khí thể thao tại Công an tỉnh, thành phố trực thuộc trung ương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000428
"Cấp Giấy phép vận chuyển vũ khí quân dụng, vũ khí thể thao tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002304
"Thủ tục cấp hộ chiếu ngoại giao, hộ chiếu công vụ tại các Cơ quan đại diện Việt Nam ở nước ngoài",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000897
"Thủ tục cấp hộ chiếu ngoại giao, hộ chiếu công vụ tại các cơ quan trong nước",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005409
"Cấp lại giấy phép hoạt động khám bệnh, chữa bệnh nhân đạo đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế do bị mất hoặc hư hỏng hoặc giấy phép bị thu hồi do cấp không đúng thẩm quyền",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001794
"Cấp lại chứng chỉ hành nghề bác sỹ gia đình đối với người Việt Nam bị mất hoặc hư hỏng hoặc bị thu hồi chứng chỉ hành nghề theo quy định tại Điểm a, b, Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001905
"Cấp lại chứng chỉ hành nghề khám bệnh, chữa bệnh đối với người Việt Nam bị thu hồi chứng chỉ hành nghề theo quy định tại điểm c, d, đ, e và g Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003291
"Cấp lại chứng chỉ hành nghề khám bệnh, chữa bệnh bị mất hoặc hư hỏng hoặc bị thu hồi chứng chỉ hành nghề theo quy định tại điểm a, b Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003299
"Cấp lại chứng chỉ hành nghề khám bệnh, chữa bệnh bị mất hoặc hư hỏng chứng chỉ hành nghề hoặc bị thu hồi chứng chỉ hành nghề theo quy định tại điểm a, b Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003800
"Cấp lại chứng chỉ hành nghề khám bệnh, chữa bệnh đối với người Việt Nam bị thu hồi chứng chỉ hành nghề theo quy định tại điểm c, d, đ, e và g Khoản 1 Điều 29 Luật khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003824
Cấp lại giấy phép hoạt động đối với phòng khám bác sỹ gia đình thuộc thẩm quyền của Sở Y tế do bị mất hoặc hư hỏng hoặc giấy phép bị thu hồi do cấp không đúng thẩm quyền,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001638
"Cấp lại giấy phép hoạt động khám bệnh, chữa bệnh nhân đạo đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế do bị mất hoặc hư hỏng hoặc giấy phép bị thu hồi do cấp không đúng thẩm quyền",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002000
"Cấp lại giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế do bị mất, hoặc hư hỏng hoặc bị thu hồi do cấp không đúng thẩm quyền",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003516
"Cấp lại giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế do bị mất, hoặc hư hỏng hoặc giấy phép bị thu hồi do cấp không đúng thẩm quyền",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003689
Cấp lại thẻ nhà báo,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004660
Cấp lại thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000460
Cấp lại văn bản xác nhận thông báo hoạt động bưu chính khi bị mất hoặc hư hỏng không sử dụng được (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005442
Cấp Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000354
Cấp Chứng chỉ kiểm định viên,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000148
Cấp giấy phép xuất bản đặc san,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004175
Thay đổi nội dung ghi trong giấy phép xuất bản đặc san,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004311
Thủ tục cấp thẻ cộng tác viên trợ giúp pháp lý,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000587
Thủ tục đăng ký tham gia trợ giúp pháp lý,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000596
Phê duyệt kế hoạch an ninh và cấp giấy chứng nhận phù hợp an ninh cảng thủy nội địa tiếp nhận phương tiện thủy nước ngoài,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003570
"Cấp điều chỉnh chứng chỉ hành nghề khám bệnh, chữa bệnh trong trường hợp đề nghị thay đổi họ và tên, ngày tháng năm sinh thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001373
"Cấp điều chỉnh chứng chỉ hành nghề khám bệnh, chữa bệnh trong trường hợp đề nghị đề nghị thay đổi họ và tên, ngày tháng năm sinh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003787
Thành lập Hội công chứng viên,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003118
Thành lập Văn phòng công chứng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001877
"Thủ tục thẩm định thành lập thôn mới, thôn tổ dân phố",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000465
"Cấp Giấy chứng nhận thẩm định thiết kế cho thiết bị xếp dỡ, nồi hơi và thiết bị áp lực sử dụng trong giao thông vận tải",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004977
Thỏa thuận bổ nhiệm người đứng đầu cơ quan báo chí,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000059
"Thỏa thuận bổ nhiệm người đứng đầu cơ quan báo chí (báo nói, báo hình)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002256
"Thủ tục tổ chức và quản lý hội nghị, hội thảo quốc tế trong Quân đội thuộc thẩm quyền cho phép của Thủ trưởng Bộ Quốc phòng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001638
"Thủ tục tổ chức và quản lý hội nghị, hội thảo quốc tế trong Quân đội thuộc thẩm quyền cho phép của Thủ tướng Chính phủ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003908
Xác nhận cam kết sản phẩm thủy sản xuất khẩu có nguồn gốc từ thủy sản khai thác nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004638
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi người chịu trách nhiệm chuyên môn của cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003531
"Cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi người chịu trách nhiệm chuyên môn của cơ sở khám bệnh, chữa bệnh thuộc thẩm quyền của Bộ Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003672
"Điều chỉnh giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh khi thay đổi quy mô giường bệnh hoặc cơ cấu tổ chức hoặc phạm vi hoạt động chuyên môn thuộc thẩm quyền của Sở Y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003547
"Điều chỉnh, bổ sung chứng chỉ hành nghề hoạt động xây dựng hạng I",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003215
"Điều chỉnh, bổ sung chứng chỉ hành nghề hoạt động xây dựng của cá nhân hạng II, III",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003913
"Đánh giá, cấp giấy chứng nhận phù hợp cho công ty tàu biển theo Bộ luật quản lý an toàn Quốc tế (Bộ luật ISM)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000075
"Công bố đóng luồng, tuyến đường thuỷ nội địa chuyên dùng nối với đường thuỷ nội địa quốc gia; đường thuỷ nội địa chuyên dùng nằm trên địa gới hai tỉnh, thành phố trực thuộc trung ương trở lên hoặc đường thuỷ nội địa chuyên dùng nối đường thuỷ nội địa quốc gia với đường thuỷ nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001512
"Công bố đóng luồng, tuyến đường thuỷ nội địa chuyên dùng nối với đường thuỷ nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001410
"Đóng tạm thời cảng hàng không, sân bay trong trường hợp cải tạo, mở rộng, sửa chữa kết cấu hạ tầng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002890
"Đóng tạm thời một phần kết cấu hạ tầng cảng hàng không, sân bay",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004706
Chấp thuận vị trí đấu nối tạm vào đường bộ đang khai thác,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000314
Đổi thẻ nhà báo,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004115
Đăng ký Giấy chứng nhận hạn ngạch thuế quan xuất khẩu mật ong tự nhiên sang Nhật Bản,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000264
Cấp Giấy chứng nhận vùng an toàn dịch bệnh động vật thủy sản,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002416
"Cấp lại Giấy chứng nhận cơ sở an toàn dịch bệnh động vật đối với vùng, cơ sở an toàn dịch bệnh thủy sản",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005329
Thủ tục đổi tên hội.,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001657
Thủ tục đổi tên hội (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001678
Thủ tục đổi tên hội (cấp huyện),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003757
Thủ tục hội tự giải thể.,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003861
Khai thuế GTGT năm theo phương pháp tính trực tiếp trên doanh thu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000762
Khai thuế GTGT theo phương pháp khấu trừ,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001736
Giải quyết đơn tố cáo,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001408
"Thủ tục giải quyết tố cáo cấp Quân đoàn, Binh chủng, Binh đoàn, Bộ Tư lệnh bảo vệ Lăng Chủ tịch Hồ Chí Minh và cấp tương đương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004521
"Thủ tục giải quyết tố cáo cấp Quân khu, Quân chủng, Bộ đội Biên phòng, Bộ Tư lệnh Thủ đô Hà Nội, Ban Cơ yếu Chính phủ và cấp tương đương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001835
"Giải quyết tố cáo cấp Bộ Tổng Tham mưu, Tổng cục Chính trị, các Tổng cục, Tổng cục II",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004540
Giải quyết tố cáo cấp Bộ Quốc phòng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001840
Trình báo mất hộ chiếu phổ thông (thực hiện tại cấp trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000539
Trình báo mất hộ chiếu phổ thông (thực hiện tại cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001445
Thủ tục kiểm soát thanh toán vốn đầu tư và vốn sự nghiệp có tính chất đầu tư thuộc nguồn vốn NSNN qua hệ thống KBNN,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004736
